file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS0066_0248_1662381_to_1667005,ཨོ་རོབ་རོབ་འདྲ་བོ། ཧཱལཧྥོ་བྷོཡོལ་ལབ་ཀི་འདུག་བ་ད། ཨུན་ཨུན། ད་ང་ཚོས། ཕྱེད་ཀ་མ་གཏོགས་མ་ཚོས་རྒྱོ། ཨོ་དེ་དེ། ཨོ་དེ་འདྲའི་རེད།  ,o rob rob 'dra bo/_hAlah+pho b+hoyol lab ki 'dug ba da/_un un/_da nga tshos/_phyed ka ma gtogs ma tshos rgyo/_o de de/_o de 'dra'i red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0066_0248_1662381_to_1667005.wav,STT_NS,3,121,4.624,wav16k/STT_NS0066_0248_1662381_to_1667005.wav,རོབཧྥརོབ་འདྲ་བོ། ཧ་བྷོཡེ་ལབ་ཀི་འདུག་བ། ད། ཕྱེད་ཀ་མ་རེ་མ་འཚོས་རྒྱོ། ཨོ་དེ། འོ་དེ་འདྲ་རེད།
STT_NS0066_0249_1667342_to_1669705,ད་དེ་ཚོ་མ་འོངས་པ་ལ་ད་ཕན་ཐོགས་ཡོད་རྒྱུ་མ་རེད། ཀུ་ཅི།  ,da de tsho ma 'ongs pa la da phan thogs yod rgyu ma red/_ku ci/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0066_0249_1667342_to_1669705.wav,STT_NS,3,53,2.363,wav16k/STT_NS0066_0249_1667342_to_1669705.wav,ད་དེ་ཚོ་མ་འོངས་པ་ལ་ད་ཕན་ཐོགས་ཡོད་རྒྱུ་མ་རེད་ཀུ་ཅི།
STT_NS0066_0059_359057_to_367512,སྤྲོ་སྐྱིད་འདྲ་བོ་གཏོང་ས་འདྲ་བོ་དེ་བི་ཆགས་བསྡད་ཡོད་རེད། རེད་རེད། ཨུམ། མཉམ་འཛོམས་ཁ་ལག་ཟ་ཡ་འདྲ་བོ་ཡོད་བ། ཨ་རེད་རེད། རེད་རེད། ཡ་ཡ། ཨེ་ནས་ཁྱེད་རང་གིས་ཅིག་ལྟ་དང་དེ་ནས་ ,spro skyid 'dra bo gtong sa 'dra bo de bi chags bsdad yod red/_red red/_um/_mnyam 'dzoms kha lag za ya 'dra bo yod ba/_a red red/_red red/_ya ya/_e nas khyed rang gis cig lta dang de nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0066_0059_359057_to_367512.wav,STT_NS,3,163,8.455,wav16k/STT_NS0066_0059_359057_to_367512.wav,སྤྲོ་སྐྱིད་འདྲ་བོ་གཏང་ས་འདྲ་བོ་དེ་དཔེ་ཆགས་བསྡད་ཡོད་རེད། ཨུ། ཨ་ལེ། མཉམ་འཛོམས་ཁ་ལག་ཟ་ཡ་འདྲ་བོ་ཡོད་བ། ཨ་རེད་རེད། རེད་རེད་རེད། ཡ་ཡ། ཨེ་ནས་ཁྱེད་རང་གིས་གཅིག་ལྟ་དང་དེ་ནས། རེད།
STT_NS0066_0250_1670042_to_1675020,ཕོ་བ་འཕྲོ་བརླག་གཏོང་གི་ཡོད་རྒྱུ་རེད་རེད་བ། རེད་རེད། ད་དེ་ད་ལྟ་ཡང་ཁྱོད་དེ་མི་འདུག་བ། དེ་ཐུར་མ་སླེབས་མི་འདུག་བ། སྐར་མ་གཅིག་སྒུགས་ཨ།  ,pho ba 'phro brlag gtong gi yod rgyu red red ba/_red red/_da de da lta yang khyod de mi 'dug ba/_de thur ma slebs mi 'dug ba/_skar ma gcig sgugs a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0066_0250_1670042_to_1675020.wav,STT_NS,3,131,4.978,wav16k/STT_NS0066_0250_1670042_to_1675020.wav,ཕོ་བ་འཕྲོ་བརླག་ཏང་གི་ཡོད་རྒྱུ་རེད་རང་། རེད་རེད། ད་དེ་ད་ལྟ་ཁྱོད་དེ་མི་འདུག་བ། དེ་ཐུབ་མང་སླེབས་མི་འདུག་བ། སྐར་མ་གཅིག་སྒུགས་ཨ།
STT_NS0066_0251_1684065_to_1687525,དེ་མནན་པ་ཡིན་ན་ཡོད་བ། ཨ་ལེ། ཁོ་རང་རང་བཞིན་གིས་ཕར་ནས་མི་སླེབས་ཀོ་རེད། རེད་བེ། ཨུན། ད་དེ་ ,de mnan pa yin na yod ba/_a le/_kho rang rang bzhin gis phar nas mi slebs ko red/_red be/_un/_da de _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0066_0251_1684065_to_1687525.wav,STT_NS,3,88,3.46,wav16k/STT_NS0066_0251_1684065_to_1687525.wav,དེ་མནན་པ་ཡིན་ན་ཡོད་བ།་། ཁོ་རང་རང་བཞིན་ཕར་ནས་མི་སླེབས་ཀི་ཡོད་རེད། རེད་བེ། ཨུད་དེ་
STT_NS0066_0252_1688217_to_1695102,སྐད་གཏང་ཡ་དེ་རེད་བ། ཅོག་ཙེ་རེ་རེ་ལ་ཡོད་བ་མི་རེ་ར་གིས་འགན་འཁུར་གི་ཡོད་རེད། ཨ་ལེ། ད་མི་དེ་ལམ་སང་ཁ་པར་འདྲ་བོ་ཅིག་སླེབས་ཀོ་རེད་ཕར་ནས། རེད་རེད། ཨུན། མི་དེ་ལམ་སང་འདི་ལ་སླེབས་ཀོ་རེད།  ,skad gtang ya de red ba/_cog tse re re la yod ba mi re ra gis 'gan 'khur gi yod red/_a le/_da mi de lam sang kha par 'dra bo cig slebs ko red phar nas/_red red/_un/_mi de lam sang 'di la slebs ko red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0066_0252_1688217_to_1695102.wav,STT_NS,3,177,6.885,wav16k/STT_NS0066_0252_1688217_to_1695102.wav,་་་རེ་རེ་ལ་ཡོད་བ།མི་རེ་རེ་གི་འགན་འཁེར་གི་ཡོད་རེད། ཨ་ལེ། ད་མི་དེ་ལམ་སང་ཁ་པར་འདྲ་བོ་ཅིག་སླེབས་ཀི་ཡོད་རེད་ཕར་ནས། རེད་རེད། ཨུམི་དེ་ལམ་སང་དེ་ལ་སླེབས་ཀི་ཡོད་རེད།
STT_NS0066_0253_1696047_to_1701194,ཨེ་ནས་ཁྱེད་རང་དེ་མནན་ན་འགྲིག་གོ་རེད་ད། ལགས་སོ། མི་དེ་ཁ་ཐུག་སླེབས་ཀོ་རེད། ཨ་ལེ། ཐུར་མ་ཁུར་ཤོག་ལབ་ཡ་ཆེད་དུ་རེད་བེ། རེད་རེད། ཨུན། ལགས་སོ།  ,e nas khyed rang de mnan na 'grig go red da/_lags so/_mi de kha thug slebs ko red/_a le/_thur ma khur shog lab ya ched du red be/_red red/_un/_lags so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0066_0253_1696047_to_1701194.wav,STT_NS,3,136,5.147,wav16k/STT_NS0066_0253_1696047_to_1701194.wav,ཨེ་ནས་ཁྱེད་རང་འདི་མནན་ན་འགྲིག་གི་ཡོད་རེད་ད། མི་དེ་ཁ་ཐུག་སླེབས་ཀི་ཡོད་རེད། ཨ་ལེ། ཐི་མཀ་ལབ་ཡ་ཆེད་དུ་རེད་བེ། ཨུན། ལགས་སོ།
STT_NS0067_0001_6269_to_13449,ད་གཟའ་མཇུག་སྐོར་ད་ང་ད་ལྟ་དམིགས་བསལ་འདྲ་བོ་གེ་གྲ་སྒྲིག་འདྲ་བོ་བྱས་མེད། ང་ག་བ་འདྲ་བོ་འགྲོ་ཡ་ཡིན་ན་ང་རང་ཧ་གོ་མེད། ད་ལྟ་ད་དཀའ་ལས་ཡ་ཡུད་ཁག་བསྡད་འདུག་བ།  ,da gza' mjug skor da nga da lta dmigs bsal 'dra bo ge gra sgrig 'dra bo byas med/_nga ga ba 'dra bo 'gro ya yin na nga rang ha go med/_da lta da dka' las ya yud khag bsdad 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0067_0001_6269_to_13449.wav,STT_NS,3,148,7.18,wav16k/STT_NS0067_0001_6269_to_13449.wav,ད་གཟའ་མཇུག་སྐོར་ད་ང་ད་ལྟ་དམིགས་བསལ་འདྲ་བོ་གི་གྲ་སྒྲིག་འདྲ་བོ་བྱས་མེད། ང་ག་བ་འདྲ་བོ་འགྲོ་ཡ་ཡིན་ན་ང་རང་ཧ་གོ་ག ད་ལྟ་ད་དཀའ་ལས་ཡོད་ཁག་བསྡད་འདུག་བ།
STT_NS0067_0002_13449_to_20629,འཛིན་གྲྭ་གྲོལ་ཚར་ཟི་རེད་བ། ཨུན། ཨོ་བྱས་ནས་ད་ད་ལྟ་གཟའ་མཇུག་སྐོར་ལ་ད་ཨེ་འདྲས་འཆར་གཞི་སོགས་སྒྲིག་མེད། ཨེ་ནས་ཁྱེད་རང་། གཟའ་མཇུག་ག་བ་འགྲོ་ཡ་ཡིན།  ,'dzin grwa grol tshar zi red ba/_un/_o byas nas da da lta gza' mjug skor la da e 'dras 'char gzhi sogs sgrig med/_e nas khyed rang /_gza' mjug ga ba 'gro ya yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0067_0002_13449_to_20629.wav,STT_NS,3,141,7.18,wav16k/STT_NS0067_0002_13449_to_20629.wav,འཛིན་གྲྭ་གྲོལ་ཚར་སོང་རཱ། ཨུ། ཨོ་བྱས་ནས་ད་ད་ལྟ་གཟའ་མཇུག་སྐོར་ལ་ད་ཨེ་འདྲའི་འཆར་གཞི་སོ་འགྲིག་མེད། ཨེ་ནས་ཁྱེད་རང་གཟའ་མཇུག་ག་བ་འགྲོ་ཡ་ཡིན།
STT_NS0067_0033_278153_to_286680,ཏོག་ཙི་ལྷོད་ལྷོད་འདྲ་བོ་ཆགས། སོ་སོ་དངམ་སྐྲག་སྐྱེས་བསྡད་ཡོད་ན་ཡང་། ཡང་ཨོ་དེ་ཞི་འཇམ་པོ་ཆགས་ཀི་འདུག་བ་ཡང་། ཨུན། ཨེ་ནས་སྤྱིར་བཏང་ནས་ད་མ་ཉལ་སྔན་ལ་གཞས་ཉན་ན་ཡོད་བ། ཡ་ཡུད་སེམས་པ་ཚང་མ་ལྷོད་ལྷོད་ཆགས་ནས་ཉལ་གི་འདུག་བ།  ,tog tsi lhod lhod 'dra bo chags/_so so dngam skrag skyes bsdad yod na yang /_yang o de zhi 'jam po chags ki 'dug ba yang /_un/_e nas spyir btang nas da ma nyal sngan la gzhas nyan na yod ba/_ya yud sems pa tshang ma lhod lhod chags nas nyal gi 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0067_0033_278153_to_286680.wav,STT_NS,3,207,8.527,wav16k/STT_NS0067_0033_278153_to_286680.wav,ཏོག་ཙི་ལྷོད་ལྷོད་འདྲ་བོ་ཆགས། སོ་སོ་དངང་སྐྲག་སྐྱེས་བསྡད་ཡོད་ན་ཡང་ཡང་འོ་དེ་གཞས་འཇམ་པོ་ཆགས་ཀི་འདུག་བ་ཡང་། ་སྤྱིར་བཏང་ནས་ད་མ་ཉན་སྔོན་ལ་གཞས་ཉན་ན་ཡོད་བཡ་ཡུད་སེམས་པ་ཚང་མ་ལྷོད་ལྷོད་ཆགས་ནས་ཉར་གི་འདུག་བ།
